date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-05-26,bankr-token-research,claude-sonnet-4-6,1685,19247,797254,54619
2026-05-26,heartbeat,claude-opus-4-7,35,12610,860733,42778
2026-05-27,heartbeat,claude-opus-4-7,15,7549,310336,34588
2026-05-27,heartbeat,claude-opus-4-7,15,5699,301424,32139
2026-05-27,heartbeat,claude-opus-4-7,675,4171,349466,31997
2026-05-28,heartbeat,claude-opus-4-7,22,4472,699625,32794
2026-05-28,heartbeat,claude-opus-4-7,645,4611,253808,32448
2026-05-28,heartbeat,claude-opus-4-7,18,4519,634435,32811
2026-05-29,heartbeat,claude-opus-4-7,18,4759,645001,33378
2026-05-29,heartbeat,claude-opus-4-7,15,6279,466905,34061
2026-05-29,heartbeat,claude-opus-4-7,17,5273,582233,33564
2026-05-30,heartbeat,claude-opus-4-7,20,5787,760608,34892
2026-05-30,heartbeat,claude-opus-4-7,20,5445,730262,33254
2026-05-30,heartbeat,claude-opus-4-7,12,6232,366761,35154
